"filename", "language", "pip requirements", "HTML", "Python", "Ini", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\html_element.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\html_model.py", "Python", 0, 0, 128, 0, 0, 0, 21, 38, 187
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\html_writer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\core\parser.py", "Python", 0, 0, 75, 0, 0, 0, 18, 24, 117
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\__init__.py", "Python", 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\html_writer.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\parser.py", "Python", 0, 0, 160, 0, 0, 0, 39, 52, 251
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\io\writer.py", "Python", 0, 0, 73, 0, 0, 0, 12, 22, 107
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\main.py", "Python", 0, 0, 132, 0, 0, 0, 9, 37, 178
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\session_manager.py", "Python", 0, 0, 241, 0, 0, 0, 29, 58, 328
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\adapters\__init__.py", "Python", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\adapters\language_tool.py", "Python", 0, 0, 11, 0, 0, 0, 8, 4, 23
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\checker.py", "Python", 0, 0, 150, 0, 0, 0, 10, 29, 189
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\models.py", "Python", 0, 0, 32, 0, 0, 0, 0, 9, 41
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\reporters.py", "Python", 0, 0, 54, 0, 0, 0, 1, 13, 68
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\state\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\state\session_state.py", "Python", 0, 0, 69, 0, 0, 0, 2, 16, 87
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\utils\encoding_utils.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\utils\html_utils.py", "Python", 0, 0, 15, 0, 0, 0, 1, 3, 19
"c:\Users\xy\Documents\GitHub\OOP_lab1\src\utils\validator.py", "Python", 0, 0, 15, 0, 0, 0, 11, 4, 30
"c:\Users\xy\Documents\GitHub\OOP_lab1\test.html", "HTML", 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\application\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\application\test_command_parser.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
