Date : 2025-03-28 23:07:18
Directory : c:\Users\xy\Documents\GitHub\OOP_lab1
Total : 119 files,  7847 codes, 1319 comments, 2238 blanks, all 11404 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\adapters\language_tool.py           | Python           |         11 |          8 |          4 |         23 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\checker.py                          | Python           |        150 |         10 |         29 |        189 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\models.py                           | Python           |         32 |          0 |          9 |         41 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\spellcheck\reporters.py                        | Python           |         54 |          1 |         13 |         68 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\state\__init__.py                              | Python           |          0 |          1 |          1 |          2 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\state\session_state.py                         | Python           |         69 |          2 |         16 |         87 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\utils\encoding_utils.py                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\utils\html_utils.py                            | Python           |         15 |          1 |          3 |         19 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\src\utils\validator.py                             | Python           |         15 |         11 |          4 |         30 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\test.html                                          | HTML             |          4 |          0 |          1 |          5 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\__init__.py                                  | Python           |          0 |          2 |          1 |          3 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\application\__init__.py                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\application\test_command_parser.py           | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\__init__.py                         | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\display\test_print_tree_command.py  | Python           |        138 |         25 |         39 |        202 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\display\test_spell_check_command.py | Python           |        154 |         26 |         42 |        222 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\__init__.py                    | Python           |          0 |          2 |          0 |          2 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\conftest.py                    | Python           |          9 |          1 |          2 |         12 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\delete_command.py              | Python           |         88 |         23 |         26 |        137 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_append_command.py         | Python           |        110 |         22 |         33 |        165 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_delete_command.py         | Python           |         97 |         26 |         27 |        150 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_edit_id_command.py        | Python           |        117 |         24 |         34 |        175 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_edit_text_command.py      | Python           |        121 |         31 |         43 |        195 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\edit\test_insert_command.py         | Python           |         84 |         14 |         22 |        120 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\file\test_read_command.py           | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\io\__init__.py                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\commands\io\test_save_command.py             | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\conftest.py                                  | Python           |         34 |          7 |         11 |         52 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\README.md                              | Markdown         |         35 |          0 |          7 |         42 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\__init__.py                            | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\deep_nested.html                       | HTML             |         19 |          0 |          1 |         20 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\edit_commands.json                     | JSON             |         37 |          0 |          1 |         38 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\expected_result.html                   | HTML             |         17 |          0 |          1 |         18 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\mock_spell_check.html                  | HTML             |         18 |          0 |          1 |         19 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\sample.html                            | HTML             |         17 |          0 |          0 |         17 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\sample_html.html                       | HTML             |         16 |          0 |          1 |         17 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\simple_tree.html                       | HTML             |         13 |          0 |          1 |         14 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\special_chars.html                     | HTML             |         13 |          0 |          1 |         14 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\input\spell_check.html                       | HTML             |         22 |          0 |          1 |         23 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\__init__.py                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_comprehensive.py            | Python           |        272 |         72 |         91 |        435 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_edge_cases.py               | Python           |        193 |         53 |         59 |        305 |
| c:\Users\xy\Documents\GitHub\OOP_lab1\tests\integration\test_integration.py              | Python           |          0 |          0 |          1 |          1 |
